pnt1,pnt2,pnt3,pnt4
[30.731150108132034, 114.21106824846075],[30.73072762352457, 114.21125932978109],[30.730689407260503, 114.2111748328596],[30.731111891867968, 114.21098375153926]
[30.730727623524572, 114.21125932978109],[30.730305138917107, 114.21145041110144],[30.730266922653033, 114.21136591417995],[30.7306894072605, 114.2111748328596]
[30.730305138917103, 114.21145041110144],[30.729882654309638, 114.21164149242178],[30.72984443804557, 114.21155699550029],[30.730266922653037, 114.21136591417995]
[30.729882654309638, 114.21164149242178],[30.729573381220835, 114.21178137044126],[30.72953516495677, 114.21169687351977],[30.72984443804557, 114.21155699550029]
[30.729573381220835, 114.21178137044126],[30.729264108132032, 114.21192124846074],[30.729225891867966, 114.21183675153925],[30.72953516495677, 114.21169687351977]
[30.729265425252734, 114.21192062766143],[30.728849148638453, 114.21212488018878],[30.728808298132982, 114.21204162486592],[30.729224574747263, 114.21183737233856]
[30.728849148638453, 114.21212488018878],[30.728432872024168, 114.21232913271614],[30.728392021518697, 114.21224587739327],[30.728808298132982, 114.21204162486592]
[30.728432872024168, 114.21232913271614],[30.728016595409887, 114.21253338524349],[30.727975744904416, 114.21245012992063],[30.728392021518697, 114.21224587739327]
[30.728016595409887, 114.21253338524349],[30.727600318795602, 114.21273763777084],[30.72755946829013, 114.21265438244798],[30.727975744904416, 114.21245012992063]
[30.727600318795602, 114.21273763777084],[30.72738837202417, 114.21284163271613],[30.7273475215187, 114.21275837739327],[30.72755946829013, 114.21265438244798]
[30.72738837202417, 114.21284163271613],[30.727176425252736, 114.21294562766143],[30.727135574747265, 114.21286237233856],[30.7273475215187, 114.21275837739327]
[30.72718813852626, 114.2129374240673],[30.727110138526257, 114.21301242406732],[30.72704586147374, 114.2129455759327],[30.727123861473743, 114.21287057593268]
[30.72709780807179, 114.21302092485465],[30.726678559525308, 114.21321900557254],[30.726638943381726, 114.21313515586326],[30.727058191928208, 114.21293707514536]
[30.726678559525308, 114.21321900557254],[30.726259310978822, 114.21341708629043],[30.72621969483524, 114.21333323658115],[30.726638943381726, 114.21313515586326]
[30.72625931097882, 114.21341708629043],[30.725840062432336, 114.21361516700831],[30.725800446288762, 114.21353131729903],[30.726219694835244, 114.21333323658115]
[30.72584006243234, 114.21361516700831],[30.725420813885854, 114.21381324772621],[30.725381197742273, 114.21372939801692],[30.72580044628876, 114.21353131729903]
[30.725420813885854, 114.21381324772621],[30.725001565339372, 114.2140113284441],[30.72496194919579, 114.21392747873482],[30.725381197742273, 114.21372939801692]
[30.725001565339372, 114.2140113284441],[30.724582316792887, 114.214209409162],[30.724542700649305, 114.21412555945271],[30.72496194919579, 114.21392747873482]
[30.724582316792887, 114.214209409162],[30.724163068246405, 114.21440748987989],[30.724123452102823, 114.2143236401706],[30.724542700649305, 114.21412555945271]
[30.7241630682464, 114.21440748987989],[30.723743819699916, 114.21460557059777],[30.72370420355634, 114.21452172088848],[30.724123452102827, 114.2143236401706]
[30.72374381969992, 114.21460557059777],[30.723541313885853, 114.21470124772621],[30.72350169774227, 114.21461739801693],[30.723704203556338, 114.21452172088848]
[30.72354131388585, 114.21470124772621],[30.723338808071787, 114.21479692485464],[30.723299191928213, 114.21471307514535],[30.723501697742275, 114.21461739801693]
[30.723340642974325, 114.21479600774082],[30.722944642974326, 114.21500500774081],[30.722901357025677, 114.21492299225918],[30.723297357025675, 114.21471399225918]
[30.72294318196806, 114.21500574615324],[30.72252572043562, 114.21520756583381],[30.722485356499504, 114.21512407352732],[30.722902818031944, 114.21492225384675]
