pnt1,pnt2,pnt3,pnt4
[30.734312460978916, 114.21843827934657],[30.733919667513273, 114.21869288913574],[30.733868745555437, 114.2186143304426],[30.73426153902108, 114.21835972065344]
[30.73391966751327, 114.21869288913574],[30.733526874047627, 114.21894749892489],[30.733475952089798, 114.21886894023176],[30.73386874555544, 114.2186143304426]
[30.73352687404763, 114.21894749892489],[30.733134080581987, 114.21920210871406],[30.73308315862415, 114.21912355002092],[30.733475952089794, 114.21886894023176]
[30.733134080581987, 114.21920210871406],[30.73287477078045, 114.21937019403032],[30.732823848822616, 114.21929163533719],[30.73308315862415, 114.21912355002092]
[30.732874770780448, 114.21937019403032],[30.732615460978913, 114.21953827934657],[30.732564539021084, 114.21945972065343],[30.73282384882262, 114.21929163533719]
[30.732615494965078, 114.21953825729575],[30.732222922007608, 114.21979320694656],[30.73217193207745, 114.21971469235505],[30.73256450503492, 114.21945974270425]
[30.73222292200761, 114.21979320694656],[30.731830349050142, 114.22004815659739],[30.731779359119976, 114.21996964200588],[30.732171932077446, 114.21971469235505]
[30.73183034905014, 114.22004815659739],[30.73143777609267, 114.2203031062482],[30.73138678616251, 114.22022459165669],[30.73177935911998, 114.21996964200588]
[30.731437776092672, 114.2203031062482],[30.731233635528877, 114.22043568177197],[30.73118264559871, 114.22035716718047],[30.731386786162506, 114.22022459165669]
[30.731233635528877, 114.22043568177197],[30.73102949496508, 114.22056825729575],[30.730978505034916, 114.22048974270425],[30.73118264559871, 114.22035716718047]
[30.731023577096032, 114.22057151900545],[30.730884577096035, 114.22063551900544],[30.73084542290397, 114.22055048099455],[30.730984422903965, 114.22048648099455]
[30.73089051062768, 114.2206322471195],[30.73065051062768, 114.2207882471195],[30.73059948937232, 114.2207097528805],[30.730839489372322, 114.22055375288049]
[30.730650538517537, 114.22078822897699],[30.730258248747607, 114.22104361415235],[30.730207171712532, 114.22096515619837],[30.730599461482463, 114.22070977102301]
[30.730258248747607, 114.22104361415235],[30.729865958977676, 114.22129899932771],[30.729814881942602, 114.22122054137374],[30.730207171712532, 114.22096515619837]
[30.729865958977676, 114.22129899932771],[30.729566248747606, 114.22149411415235],[30.72951517171253, 114.22141565619837],[30.729814881942602, 114.22122054137374]
[30.729566248747606, 114.22149411415235],[30.729266538517535, 114.22168922897698],[30.72921546148246, 114.22161077102301],[30.72951517171253, 114.22141565619837]
[30.7292660955582, 114.22168951381369],[30.72887095742129, 114.2219404693957],[30.72882076630489, 114.22186144176833],[30.729215904441798, 114.22161048618631]
[30.728870957421293, 114.2219404693957],[30.728475819284384, 114.22219142497774],[30.728425628167976, 114.22211239735036],[30.728820766304885, 114.22186144176833]
[30.72847581928438, 114.22219142497774],[30.72811045742129, 114.22242346939571],[30.72806026630489, 114.22234444176833],[30.72842562816798, 114.22211239735036]
[30.728110457421295, 114.22242346939571],[30.727745095558205, 114.22265551381369],[30.727694904441798, 114.22257648618631],[30.728060266304887, 114.22234444176833]
[30.72774679704933, 114.22265438029001],[30.72752479704933, 114.22280938029],[30.72747120295067, 114.22273261970999],[30.72769320295067, 114.22257761971]
